	Data	List of sets
20073	уголок соедин сантех мет труб	{'10.01'}
20074	уголок соедин сантех мет труб	{'10.01'}
20075	уголь	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20076	угольник	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
20077	угольник	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
20078	угольник	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
20079	угольник полипропиленовый напорный	{'10.01'}
20080	угольник строительный металл	{'10.01'}
20081	угольник чугун	{'10.06', '10.01'}
20082	угольник чугунный прох	{'10.01'}
20083	угольник чугунный прох	{'10.01'}
20084	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20085	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20086	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20087	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20088	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20089	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20090	удлинитель вентильный резиновый мет оплетке	{'10.01'}
20091	удлинитель коленвала	{'10.01'}
20092	удлинитель рамке розеток квт заземлением выключателем	{'10.01'}
20093	удлинитель однофаз бытовой	{'10.01'}
20094	удлинитель однофаз бытовой	{'10.01'}
20095	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20096	удлинитель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
20097	удлинитель сетевой джетт	{'10.01'}
20098	удлинитель сетевой фильтром розет pilot	{'10.01'}
20099	удобрение цвет	{'10.01'}
20100	удостоверение бланки	{'10.01'}
20101	узел ремня переноса сборе	{'10.01'}
20102	узел управления сплинкерный водозаполнен прямоточный	{'10.01'}
20103	узел щеточ генер коллект	{'10.01'}
20104	узел щеточный генератора лиаз man	{'10.01'}
20105	узо тхз	{'10.01'}
20106	указ повор задн	{'10.01'}
20107	указат поворот бок маз	{'10.01', '10.05'}
20108	указат температуры	{'10.01'}
20109	указатели темп давлен масла	{'10.01'}
20110	указатель давл масла лиаз	{'10.01'}
20111	указатель давления манометр лиаз	{'10.01'}
20112	указатель давления воздуха	{'10.01'}
20113	указатель давления масла	{'10.02', '10.01'}
20114	указатель давления масла прибор	{'10.01'}
20115	указатель зарядки	{'10.01'}
20116	указатель напряжения маз	{'10.01'}
20117	указатель поворота боковой	{'10.02', '10.01'}
20118	указатель поворота боковой дополнительный	{'10.01'}
20119	указатель поворотов передн лиаз	{'10.02', '10.01'}
20120	указатель поворотов передн лиаз	{'10.02', '10.01'}
20121	указатель поворотов передний	{'10.01', '10.05'}
20122	указатель поворотов передний лиаз	{'10.01'}
20123	указатель поворотов передний правый фонарь волжанин	{'10.01'}
20124	указатель путевой	{'10.01'}
20125	указатель температ воды лиаз	{'10.01'}
20126	указатель температуры	{'10.02', '10.01', '10.05'}
20127	указатель температуры маз	{'10.01'}
20128	указатель тока	{'10.01'}
20129	указатель топлива	{'10.01'}
20130	указатель уровня топлива маз	{'10.01'}
20131	указатель уровня топлива лиаз	{'10.01'}
20132	укпр	{'10.01'}
20133	украшения набор	{'10.06', '10.01'}
20134	умывальник	{'10.09', '10.08', '10.06', '10.01'}
20135	умывальник пьедесталом	{'10.01'}
20136	универсал аэроз	{'10.01'}
20137	унитаз сборе выпуск полу	{'10.01'}
20138	унитаз сборе выпуск параллельно полу	{'10.01'}
20139	унитаз компакт	{'10.08', '10.01'}
20140	унитаз компакт комплекте бачком	{'10.01'}
20141	унитаз компакт версия бел козырьк выпуск подвод santeri	{'10.08', '10.01'}
20142	унитаз компакт универсал белый	{'10.01'}
20143	унитаз компакт универсал белый арматура кнопочная нижним подводом	{'10.01'}
20144	уничтожитель документов hsm shredstar	{'10.09', '10.11.02', '10.01'}
20145	уничтожитель документов hsm shredstar	{'10.09', '10.11.02', '10.01'}
20146	упаков скотч	{'10.01'}
20147	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20148	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20149	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20150	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20151	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20152	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20153	упаковка	{'10.09', '10.08', '10.06', '10.01'}
20154	упаковка фотобумаги lomond	{'10.01'}
20155	упаковочная лента прозрачная	{'10.01'}
20156	упл крышки головки цилиндра	{'10.02', '10.01'}
20157	упл крышки головки цилиндра	{'10.02', '10.01'}
20158	упл крышки головки цилиндра	{'10.02', '10.01'}
20159	упл крышки головки цилиндра	{'10.02', '10.01'}
20160	упл крышки головки цилиндра	{'10.02', '10.01'}
20161	упл крышки головки цилиндра	{'10.02', '10.01'}
20162	упл крышки головки цилиндра	{'10.02', '10.01'}
20163	упл насоса системы охлаждения	{'10.02', '10.01'}
20164	упл насоса системы охлаждения	{'10.02', '10.01'}
20165	уплот топл фильтра fiat	{'10.01'}
20166	уплотн выпускного коллектора	{'10.01'}
20167	уплотн выпускного коллектора асбест	{'10.01'}
20168	уплотн картера рул механизма	{'10.01'}
20169	уплотн картера рул механизма	{'10.01'}
20170	уплотн картера рул механизма	{'10.01'}
20171	уплотн картера рул механизма	{'10.01'}
20172	уплотн картера рул механизма	{'10.01'}
20173	уплотн картера рул механизма	{'10.01'}
20174	уплотн картера рул механизма	{'10.01'}
20175	уплотн картера рул механизма	{'10.01'}
20176	уплотн картера рул механизма	{'10.01'}
20177	уплотн трубы забора возд	{'10.01'}
20178	уплотн трубы забора возд асбест	{'10.01'}
20179	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20180	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20181	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20182	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20183	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20184	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20185	уплотнение лиаз raba	{'10.02', '10.01'}
20186	уплотнение лиаз raba	{'10.02', '10.01'}
20187	уплотнение обрати слив масла	{'10.01'}
20188	уплотнение обрати слив масла турб	{'10.01'}
20189	уплотнение обрати слив масла турб	{'10.01'}
20190	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20191	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20192	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20193	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20194	уплотнение	{'10.02', '10.06', '10.01', '10.05'}
20195	уплотнение wha	{'10.01', '10.05'}
20196	уплотнение wha	{'10.01', '10.05'}
20197	уплотнение вала радиальное спереди	{'10.01'}
20198	уплотнение вала сзади радиальное	{'10.01', '10.05'}
20199	уплотнение выпускного коллектора	{'10.01'}
20200	уплотнение выпускного коллектора	{'10.01'}
20201	уплотнение голаз	{'10.01'}
20202	уплотнение головка масляного фильтра	{'10.02', '10.01'}
20203	уплотнение головки фильтра масляного	{'10.01'}
20204	уплотнение головки цилиндра	{'10.01'}
20205	уплотнение головки цилиндра	{'10.01'}
20206	уплотнение гофрированного патрубка agr	{'10.01'}
20207	уплотнение масл фильтра	{'10.01'}
20208	уплотнение картера маховика	{'10.01'}
20209	уплотнение картера рул механизма	{'10.01'}
20210	уплотнение картера рул механизма	{'10.01'}
20211	уплотнение картера рулевого механизма	{'10.01'}
20212	уплотнение клапана станов	{'10.01'}
20213	уплотнение клапана установ	{'10.02', '10.01'}
20214	уплотнение клапана установ	{'10.02', '10.01'}
20215	уплотнение кожух маховика	{'10.02', '10.01'}
20216	уплотнение кожух маховика	{'10.02', '10.01'}
20217	уплотнение кожух маховика	{'10.02', '10.01'}
20218	уплотнение кожух маховика лиаз man dloн	{'10.01'}
20219	уплотнение коллектора водяного асбеста лиаз	{'10.01'}
20220	уплотнение корпус термостата	{'10.01'}
20221	уплотнение корпуса термостата	{'10.01'}
